H-1	TOT
1.000000E-05	1.176390E+03
1.103040E-05	1.120110E+03
1.216690E-05	1.066530E+03
1.342060E-05	1.015510E+03
1.480340E-05	9.669370E+02
1.632860E-05	9.206860E+02
1.801110E-05	8.766500E+02
1.986690E-05	8.347210E+02
2.191390E-05	7.948000E+02
2.417190E-05	7.567910E+02
2.666250E-05	7.206010E+02
2.940970E-05	6.861440E+02
3.244000E-05	6.533370E+02
3.578250E-05	6.221010E+02
3.946940E-05	5.923620E+02
4.353620E-05	5.640460E+02
4.802210E-05	5.370870E+02
5.297010E-05	5.114200E+02
5.842800E-05	4.869830E+02
6.444820E-05	4.637160E+02
7.108880E-05	4.415650E+02
7.841360E-05	4.204760E+02
8.649310E-05	4.003980E+02
9.540510E-05	3.812830E+02
1.052350E-04	3.630840E+02
1.160780E-04	3.457590E+02
1.280390E-04	3.292650E+02
1.412320E-04	3.135630E+02
1.557840E-04	2.986150E+02
1.718350E-04	2.843850E+02
1.895400E-04	2.708390E+02
2.090700E-04	2.579440E+02
2.306120E-04	2.456700E+02
2.543740E-04	2.339860E+02
2.805840E-04	2.228650E+02
3.094940E-04	2.122800E+02
3.413830E-04	2.022060E+02
3.765580E-04	1.926170E+02
4.153580E-04	1.834920E+02
4.581550E-04	1.748080E+02
5.053620E-04	1.665450E+02
5.574330E-04	1.586820E+02
6.148690E-04	1.512000E+02
6.782230E-04	1.440820E+02
7.481050E-04	1.373100E+02
8.251880E-04	1.308690E+02
9.102130E-04	1.247420E+02
1.004000E-03	1.189150E+02
1.107450E-03	1.133740E+02
1.221550E-03	1.081050E+02
1.347420E-03	1.030960E+02
1.486250E-03	9.833510E+01
1.639390E-03	9.381030E+01
1.808310E-03	8.951090E+01
1.994630E-03	8.544810E+01
2.008710E-03	8.514190E+01
2.200160E-03	8.158500E+01
2.231200E-03	8.100950E+01
2.426850E-03	7.791320E+01
2.478450E-03	7.709840E+01
2.676910E-03	7.442420E+01
2.752970E-03	7.340130E+01
2.952730E-03	7.111010E+01
3.058050E-03	6.990460E+01
3.256970E-03	6.796320E+01
3.396770E-03	6.660170E+01
3.592560E-03	6.497650E+01
3.773200E-03	6.348040E+01
3.962720E-03	6.214290E+01
4.191130E-03	6.053470E+01
4.371030E-03	5.945610E+01
4.655580E-03	5.775380E+01
4.821410E-03	5.690950E+01
5.171250E-03	5.513230E+01
5.318190E-03	5.449730E+01
5.744310E-03	5.266030E+01
5.866160E-03	5.221380E+01
6.380570E-03	5.033320E+01
6.470590E-03	5.005360E+01
7.087660E-03	4.814190E+01
7.137300E-03	4.801140E+01
7.872710E-03	4.608240E+01
8.683890E-03	4.428240E+01
8.745150E-03	4.414680E+01
9.578650E-03	4.258380E+01
9.713790E-03	4.233090E+01
1.056560E-02	4.099000E+01
1.086580E-02	4.051850E+01
1.165430E-02	3.948370E+01
1.215450E-02	3.882860E+01
1.285510E-02	3.806310E+01
1.359600E-02	3.725540E+01
1.417960E-02	3.672530E+01
1.520850E-02	3.579300E+01
1.564060E-02	3.546720E+01
1.701220E-02	3.443600E+01
1.725220E-02	3.428700E+01
1.902980E-02	3.318640E+01
1.916410E-02	3.310340E+01
2.099060E-02	3.217950E+01
2.158710E-02	3.187850E+01
2.315340E-02	3.123260E+01
2.431760E-02	3.075380E+01
2.524190E-02	3.042110E+01
2.530000E-02	3.040090E+01
2.790680E-02	2.959160E+01
2.869980E-02	2.934610E+01
3.078230E-02	2.882860E+01
3.255650E-02	2.838900E+01
3.395400E-02	2.811350E+01
3.719200E-02	2.747720E+01
3.745250E-02	2.743690E+01
4.131150E-02	2.684110E+01
4.248540E-02	2.666040E+01
4.556810E-02	2.629010E+01
4.887450E-02	2.589420E+01
5.026330E-02	2.576640E+01
5.544230E-02	2.529180E+01
5.662110E-02	2.518410E+01
6.115490E-02	2.487120E+01
6.605490E-02	2.453430E+01
6.745610E-02	2.446270E+01
7.440660E-02	2.410880E+01
7.760040E-02	2.394680E+01
8.207320E-02	2.378190E+01
9.052970E-02	2.347150E+01
9.245460E-02	2.340120E+01
9.985770E-02	2.321020E+01
1.101470E-01	2.294600E+01
1.117010E-01	2.290630E+01
1.214960E-01	2.273440E+01
1.340140E-01	2.251600E+01
1.368640E-01	2.246650E+01
1.478230E-01	2.234030E+01
1.630540E-01	2.216590E+01
1.712530E-01	2.207260E+01
1.798550E-01	2.201050E+01
1.983860E-01	2.187760E+01
2.188270E-01	2.173200E+01
2.203710E-01	2.172110E+01
2.413750E-01	2.163220E+01
2.662450E-01	2.152780E+01
2.936780E-01	2.141340E+01
3.239380E-01	2.134390E+01
3.573160E-01	2.126800E+01
3.941320E-01	2.118500E+01
4.110500E-01	2.114710E+01
4.347430E-01	2.112050E+01
4.795370E-01	2.107070E+01
5.289470E-01	2.101630E+01
5.834480E-01	2.095690E+01
6.127850E-01	2.092520E+01
6.435650E-01	2.091070E+01
7.098760E-01	2.087970E+01
7.830200E-01	2.084610E+01
8.637000E-01	2.080950E+01
9.526930E-01	2.076950E+01
1.007600E+00	2.074510E+01
1.050860E+00	2.073830E+01
1.159130E+00	2.072170E+01
1.278570E+00	2.070370E+01
1.410300E+00	2.068420E+01
1.555620E+00	2.066300E+01
1.715900E+00	2.064000E+01
1.892710E+00	2.061490E+01
1.960220E+00	2.060550E+01
2.087720E+00	2.060110E+01
2.302840E+00	2.059400E+01
2.540120E+00	2.058640E+01
2.801840E+00	2.057840E+01
3.090530E+00	2.056970E+01
3.408970E+00	2.056030E+01
3.760220E+00	2.055020E+01
4.147670E+00	2.053930E+01
4.575030E+00	2.052750E+01
5.046420E+00	2.051460E+01
5.337290E+00	2.050670E+01
5.566390E+00	2.050600E+01
6.139940E+00	2.050420E+01
6.772580E+00	2.050240E+01
7.470400E+00	2.050050E+01
8.240130E+00	2.049860E+01
9.089170E+00	2.049670E+01
1.002570E+01	2.049470E+01
1.105870E+01	2.049260E+01
1.228420E+01	2.049030E+01
1.354990E+01	2.048800E+01
1.494610E+01	2.048560E+01
1.660160E+01	2.048280E+01
1.831210E+01	2.048000E+01
2.019900E+01	2.047710E+01
2.228020E+01	2.047400E+01
2.474920E+01	2.047030E+01
2.710810E+01	2.046690E+01
3.011220E+01	2.046270E+01
3.344750E+01	2.045800E+01
3.689380E+01	2.045330E+01
4.069520E+01	2.044820E+01
4.334450E+01	2.044460E+01
4.488840E+01	2.044430E+01
4.951350E+01	2.044330E+01
5.500050E+01	2.044230E+01
6.066760E+01	2.044120E+01
6.691860E+01	2.044010E+01
7.381370E+01	2.043890E+01
8.141920E+01	2.043770E+01
8.980840E+01	2.043640E+01
9.975590E+01	2.043480E+01
1.108110E+02	2.043320E+01
